1.IMU_yaw(deg),2.IMU_diff (deg),3.Max Degree(deg),4.Mag dx(px)
-138.1802,0.3933,97.0,2.0
-138.3804,0.2002,97.0,18.0
-138.8004,0.42,97.0,14.0
-139.2467,0.4463,93.0,5.0
-139.4869,0.2403,98.0,6.0
-140.002,0.5151,98.0,10.0
-140.5506,0.5486,99.0,15.0
-141.1235,0.5729,99.0,4.0
-141.4136,0.2901,92.0,12.0
-142.0234,0.6098,89.0,8.0
-142.3476,0.3243,86.0,13.0
-142.9905,0.6429,88.0,9.0
-143.6722,0.6816,91.0,13.0
-144.0151,0.343,97.0,9.0
-144.3551,0.34,98.0,5.0
-145.0605,0.7054,99.0,9.0
-145.7869,0.7264,104.0,14.0
-146.1788,0.3919,93.0,14.0
-147.0018,0.823,85.0,10.0
-147.4059,0.4042,85.0,17.0
-148.3803,0.9744,79.0,12.0
-149.3999,1.0196,86.0,20.0
-149.9486,0.5488,92.0,21.0
-151.646,1.6973,89.0,23.0
-152.8506,1.2047,90.0,16.0
-153.5056,0.655,92.0,24.0
-154.7506,1.2449,89.0,28.0
-156.1057,1.3551,92.0,18.0
-156.8337,0.728,92.0,26.0
-158.2545,1.4208,85.0,21.0
-158.9783,0.7238,83.0,10.0
-160.4288,1.4505,72.0,27.0
-161.185,0.7563,81.0,10.0
-161.9802,0.7952,85.0,29.0
-164.4174,2.4372,91.0,22.0
-165.2274,0.81,84.0,27.0
-166.8573,1.6299,82.0,28.0
-168.5006,1.6433,89.0,23.0
-169.3334,0.8328,87.0,29.0
-171.0373,1.7039,91.0,23.0
-172.789,1.7517,179.0,0.0
-174.5209,1.7319,179.0,0.0
-175.3825,0.8617,114.0,9.0
-177.1506,1.7681,94.0,25.0
132.4309,309.5815,95.0,26.0
132.4472,0.0163,98.0,28.0
-136.2484,268.6957,45.0,16.0
132.4357,0.0154,76.0,1.0
-136.2484,268.6842,81.0,28.0
-136.2396,0.0088,75.0,2.0
-136.2039,0.0357,56.0,1.0
-136.1719,0.032,51.0,2.0
-136.1523,0.0196,56.0,2.0
-136.1229,0.0295,78.0,1.0
-136.1128,0.0101,99.0,1.0
-136.1053,0.0075,103.0,1.0
-136.0974,0.0078,84.0,1.0
-136.0742,0.0232,65.0,3.0
-136.0457,0.0285,85.0,2.0
-136.04,0.0057,102.0,3.0
-136.0196,0.0204,86.0,3.0
-135.9933,0.0263,84.0,2.0
-135.9901,0.0031,69.0,3.0
-135.9635,0.0267,69.0,2.0
-135.9523,0.0112,78.0,1.0
-135.9264,0.0259,68.0,3.0
