1. uncorreted dist,2. corrected dist,3. IMU dist,3. LiDAR GT 
18.51,17.36,16.12,18.511
18.51,17.36,16.12,18.402
19.22,18.59,18.91,18.402
18.33,18.33,18.33,18.291
18.17,17.61,17.91,18.291
19.04,17.38,17.65,18.095
22.18,18.08,19.12,18.095
23.26,18.18,19.34,19.389
22.84,18.24,19.52,20.463
22.77,18.19,19.56,20.908
20.82,17.11,18.32,20.908
19.01,16.25,17.54,19.926
18.26,16.25,17.44,17.57
17.97,15.87,17.24,17.57
18.66,15.95,17.06,17.427
18.82,16.07,17.19,17.427
18.81,15.75,16.52,17.482
18.97,15.85,16.65,17.482
18.99,16.17,16.73,17.422
18.99,16.17,16.73,17.44
18.81,16.37,16.68,17.502
18.3,16.28,16.29,17.502
17.69,16.32,16.32,17.558
16.75,15.76,15.9,17.558
16.72,16.03,15.94,17.391
16.46,15.93,15.78,17.605
16.56,16.1,15.79,17.788
13.97,15.79,16.07,17.788
13.09,15.83,15.41,17.788
15.13,19.71,19.47,18.203
18.13,19.53,18.45,18.248
18.13,19.53,18.45,18.248
19.39,16.3,15.27,18.288
19.39,16.3,15.27,18.288
19.39,16.3,15.27,18.674
19.39,16.3,15.27,18.674
40.19,16.99,16.97,18.674
40.19,16.99,16.97,18.972
22.28,17.3,16.69,18.972
22.28,17.3,16.69,18.972
22.28,17.3,16.69,19.074
22.28,17.3,16.69,19.074
22.28,17.3,16.69,19.074
22.28,17.3,16.69,19.074
22.28,17.3,16.69,19.074
22.28,17.3,16.69,19.074
18.52,16.61,17.37,19.074
19.05,16.38,17.22,18.59
19.14,16.27,17.02,18.59
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
22.01,7.63,17.89,0.0
16.75,8.66,14.27,0.0
16.75,8.66,14.27,0.0
13.48,8.13,16.23,0.0
13.48,8.13,16.23,0.0
13.48,8.13,16.23,0.0
41.89,6.25,25.05,0.0
41.89,6.25,25.05,0.0
47.17,7.37,16.59,0.0
33.34,7.31,17.22,0.0
33.34,7.31,17.22,0.0
24.47,7.41,18.26,0.0
24.47,7.41,18.26,0.0
24.47,7.41,18.26,0.0
24.47,7.41,18.26,0.0
22.27,7.39,16.85,0.0
18.88,7.48,17.42,0.0
17.71,7.64,16.66,0.0
17.71,7.64,16.66,0.0
19.94,7.33,16.75,0.0
19.94,7.33,16.75,0.0
19.94,7.33,16.75,0.0
19.94,7.33,16.75,0.0
19.94,7.33,16.75,0.0
21.88,7.45,17.24,0.0
21.88,7.45,17.24,0.0
21.99,7.13,17.49,0.0
21.99,7.13,17.49,0.0
21.99,7.13,17.49,0.0
21.99,7.13,17.49,0.0
21.99,7.13,17.49,0.0
21.99,7.13,17.49,0.0
21.99,7.13,17.49,0.0
21.99,7.13,17.49,0.0
21.99,7.13,17.49,0.0
21.33,6.92,17.26,0.0
20.77,6.86,17.07,0.0
21.44,6.72,17.32,0.0
21.4,6.58,17.39,0.0
20.41,6.68,17.17,0.0
20.41,6.68,17.17,0.0
20.41,6.68,17.17,0.0
19.88,6.31,17.49,0.0
20.02,6.29,17.42,0.0
19.89,6.24,17.5,0.0
20.48,6.09,17.95,0.0
20.24,6.07,18.15,0.0
19.62,6.09,18.22,0.0
19.62,6.09,18.22,0.0
19.62,6.09,18.22,0.0
18.99,5.92,19.66,0.0
18.77,5.92,19.33,0.0
18.77,5.92,19.33,0.0
18.77,5.92,19.33,0.0
18.77,5.92,19.33,0.0
19.04,19.04,19.04,0.0
18.38,6.02,17.99,0.0
19.22,6.0,18.49,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
19.92,5.91,18.3,0.0
15.29,5.27,17.4,0.0
15.29,5.27,17.4,0.0
15.29,5.27,17.4,0.0
15.29,5.27,17.4,0.0
15.29,5.27,17.4,0.0
15.29,5.27,17.4,0.0
15.29,5.27,17.4,0.0
15.29,5.27,17.4,0.0
20.75,4.9,19.1,0.0
20.75,4.9,19.1,0.0
18.37,4.95,18.68,0.0
18.17,4.92,18.78,0.0
18.17,4.92,18.78,0.0
18.53,4.83,19.29,0.0
18.19,4.87,18.7,0.0
18.07,18.07,18.07,0.0
18.65,4.9,18.35,0.0
18.65,4.9,18.35,0.0
17.96,4.81,18.77,0.0
17.96,4.81,18.77,0.0
17.89,4.81,19.11,0.0
18.54,4.83,18.98,0.0
18.69,18.69,18.69,0.0
18.69,18.69,18.69,0.0
18.69,18.69,18.69,0.0
18.69,18.69,18.69,0.0
19.38,4.91,17.45,0.0
18.9,4.85,18.28,0.0
17.95,4.84,18.22,0.0
17.95,4.84,18.22,0.0
17.95,4.84,18.22,0.0
18.35,4.93,17.77,0.0
18.08,4.85,17.79,0.0
16.2,5.02,17.38,0.0
15.66,5.06,16.91,0.0
14.87,5.07,17.01,0.0
14.87,5.07,17.01,0.0
15.31,5.0,17.51,0.0
15.73,5.05,17.01,0.0
15.73,5.05,17.01,0.0
19.11,5.01,16.74,0.0
18.75,4.91,18.34,0.0
18.31,18.31,18.31,0.0
18.29,18.29,18.29,0.0
17.94,17.94,17.94,0.0
18.39,4.87,17.72,0.0
19.59,4.87,17.73,0.0
20.2,4.88,17.39,0.0
23.7,4.8,18.56,0.0
25.91,4.74,19.04,0.0
26.34,4.74,19.27,0.0
25.38,4.79,20.51,0.0
24.11,4.77,22.04,0.0
19.87,4.9,19.3,0.0
19.16,4.87,19.98,0.0
18.78,4.85,19.56,0.0
18.78,4.85,19.56,0.0
19.19,4.84,19.55,0.0
19.11,4.81,19.47,0.0
19.27,19.27,19.27,0.0
19.27,19.27,19.27,0.0
19.14,4.67,18.63,0.0
20.34,4.59,19.3,0.0
20.73,4.55,19.2,0.0
20.48,4.58,19.66,0.0
18.68,4.5,21.65,0.0
15.32,4.62,19.35,0.0
14.85,4.7,18.91,0.0
16.04,4.61,19.35,0.0
19.3,19.3,19.3,0.0
21.33,4.54,18.62,0.0
23.88,4.5,19.55,0.0
28.41,4.44,19.44,0.0
44.53,4.34,21.15,0.0
42.13,4.33,20.85,0.0
34.36,4.4,20.45,0.0
27.56,4.43,21.48,0.0
24.11,4.37,23.44,0.0
22.59,4.44,22.17,0.0
22.4,22.4,22.4,0.0
21.2,4.46,22.21,0.0
20.89,4.46,22.59,0.0
20.51,4.45,21.74,0.0
20.51,4.45,21.74,0.0
19.41,4.51,22.05,0.0
19.1,4.48,22.37,0.0
19.3,4.47,22.36,0.0
19.5,4.52,21.8,0.0
21.81,4.51,22.87,0.0
22.07,4.49,21.65,0.0
24.7,4.42,23.65,0.0
24.54,4.41,23.69,0.0
22.71,4.49,22.28,0.0
24.65,4.4,23.94,0.0
22.66,4.52,22.23,0.0
22.6,4.48,22.31,0.0
22.34,4.49,21.92,0.0
22.68,4.45,22.39,0.0
22.68,4.45,22.39,0.0
24.86,4.44,22.82,0.0
24.92,4.44,22.86,0.0
24.39,4.44,22.89,0.0
21.48,4.58,21.21,0.0
21.0,4.56,21.4,0.0
21.33,4.55,22.62,0.0
21.33,4.55,22.49,0.0
19.41,4.63,21.81,0.0
17.25,4.67,21.15,0.0
21.02,4.37,27.83,0.0
21.02,4.37,27.83,0.0
25.04,4.59,21.47,0.0
24.19,4.58,22.86,0.0
20.63,4.66,21.72,0.0
20.63,4.66,21.72,0.0
19.68,4.64,21.56,0.0
19.68,4.64,21.56,0.0
19.35,4.93,15.8,0.0
19.35,4.93,15.8,0.0
18.11,5.01,15.69,0.0
18.11,5.01,15.69,0.0
18.99,4.86,16.24,0.0
19.18,4.83,16.15,0.0
19.19,4.84,15.71,0.0
19.51,4.83,15.82,0.0
19.51,4.83,15.82,0.0
18.88,4.71,17.16,0.0
16.78,4.92,15.83,0.0
17.3,4.86,15.4,0.0
17.3,4.86,15.4,0.0
18.6,4.82,16.22,0.0
17.56,4.87,15.7,0.0
16.63,4.94,15.7,0.0
16.63,4.91,15.23,0.0
18.05,4.84,15.93,0.0
18.88,4.73,16.3,0.0
16.94,4.86,15.83,0.0
16.31,4.85,15.43,0.0
15.8,4.81,15.1,0.0
16.22,4.84,15.02,0.0
18.36,4.77,15.42,0.0
15.07,5.1,13.09,0.0
15.07,5.1,13.09,0.0
18.84,4.68,16.06,0.0
19.2,4.71,15.41,0.0
17.33,4.71,16.11,0.0
17.96,4.76,15.72,0.0
18.56,4.7,15.92,0.0
17.88,4.68,16.42,0.0
19.82,4.43,18.12,0.0
20.59,4.5,18.24,0.0
19.34,19.34,19.34,0.0
19.34,19.34,19.34,0.0
18.9,4.48,19.33,0.0
19.55,4.43,20.14,0.0
19.24,19.24,19.24,0.0
18.82,4.49,19.15,0.0
18.53,4.48,19.71,0.0
18.4,4.54,19.35,0.0
18.59,4.49,19.7,0.0
19.29,4.39,21.27,0.0
19.44,4.47,19.23,0.0
19.96,4.47,19.5,0.0
19.96,4.47,19.5,0.0
19.96,4.47,19.5,0.0
19.96,4.47,19.5,0.0
19.96,4.47,19.5,0.0
20.25,4.38,22.42,0.0
20.8,4.46,19.95,0.0
20.34,4.42,19.4,0.0
20.36,4.42,19.55,0.0
19.78,4.46,19.02,0.0
19.36,4.46,19.15,0.0
19.37,4.47,19.06,0.0
18.8,4.58,18.52,0.0
22.85,4.45,19.08,0.0
23.29,4.41,19.61,0.0
22.77,4.47,19.56,0.0
19.4,4.63,17.68,0.0
19.4,4.63,17.68,0.0
17.97,4.73,17.15,0.0
17.97,4.73,17.15,0.0
19.03,4.68,16.76,0.0
18.89,4.68,16.59,0.0
18.13,4.68,16.47,0.0
16.75,4.73,15.92,0.0
16.49,4.73,15.81,0.0
16.49,4.73,15.81,0.0
12.63,4.86,15.57,0.0
16.3,4.73,15.63,0.0
16.3,4.73,15.63,0.0
39.8,4.41,16.58,0.0
40.19,4.34,18.95,0.0
19.58,4.53,18.41,0.0
19.58,4.53,18.41,0.0
19.58,4.53,18.41,0.0
17.36,17.36,17.36,0.0
19.01,4.63,17.43,0.0
19.19,4.65,17.23,0.0
19.23,4.71,16.74,0.0
19.77,4.65,16.88,0.0
19.69,4.65,16.82,0.0
19.23,4.66,17.0,0.0
19.23,4.66,17.0,0.0
18.1,4.73,17.11,0.0
16.93,4.82,16.28,0.0
16.93,4.82,16.28,0.0
18.59,4.71,16.69,0.0
19.2,4.69,16.49,0.0
19.48,4.75,16.2,0.0
19.43,4.76,16.17,0.0
19.19,4.78,15.99,0.0
19.03,4.76,15.89,0.0
