1. uncorreted dist,2. corrected dst,3. LiDAR GT 
23.290000915527344,23.290000915527344,0
22.84000015258789,22.84000015258789,0
22.719999313354492,22.719999313354492,0
22.290000915527344,22.290000915527344,0
22.290000915527344,22.290000915527344,0
19.010000228881836,21.989999771118164,0
17.93000030517578,21.790000915527344,0
17.969999313354492,21.579999923706055,0
18.65999984741211,21.899999618530273,0
18.65999984741211,21.899999618530273,0
18.729999542236328,21.59000015258789,0
18.969999313354492,21.649999618530273,0
18.959999084472656,22.479999542236328,0
18.90999984741211,22.719999313354492,0
18.850000381469727,22.8700008392334,0
18.1200008392334,22.68000030517578,0
18.1200008392334,22.68000030517578,0
17.3799991607666,22.799999237060547,0
17.3799991607666,22.799999237060547,0
16.75,22.450000762939453,0
16.459999084472656,22.219999313354492,0
16.559999465942383,22.709999084472656,0
16.559999465942383,22.709999084472656,0
14.789999961853027,25.43000030517578,0
12.770000457763672,22.209999084472656,0
12.760000228881836,22.190000534057617,0
13.279999732971191,22.889999389648438,0
16.299999237060547,22.920000076293945,0
18.1299991607666,23.649999618530273,0
20.09000015258789,24.100000381469727,0
20.09000015258789,24.100000381469727,0
20.09000015258789,24.100000381469727,0
36.84000015258789,25.670000076293945,0
44.02000045776367,27.43000030517578,0
40.189998626708984,28.350000381469727,0
40.189998626708984,28.350000381469727,0
19.579999923706055,27.469999313354492,0
19.579999923706055,27.469999313354492,0
19.579999923706055,27.469999313354492,0
19.579999923706055,27.469999313354492,0
19.579999923706055,27.469999313354492,0
17.200000762939453,26.75,0
17.200000762939453,26.75,0
18.350000381469727,26.010000228881836,0
19.010000228881836,25.950000762939453,0
19.110000610351562,25.139999389648438,0
19.329999923706055,24.610000610351562,0
19.829999923706055,24.700000762939453,0
19.229999542236328,24.459999084472656,0
19.229999542236328,24.459999084472656,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
31.049999237060547,5.150000095367432,0
32.560001373291016,5.059999942779541,0
32.27000045776367,5.010000228881836,0
32.0099983215332,4.929999828338623,0
31.6299991607666,4.880000114440918,0
31.1200008392334,4.849999904632568,0
31.209999084472656,4.840000152587891,0
31.18000030517578,4.730000019073486,0
32.09000015258789,4.659999847412109,0
32.15999984741211,4.630000114440918,0
32.470001220703125,4.579999923706055,0
32.470001220703125,4.579999923706055,0
32.970001220703125,4.53000020980835,0
33.22999954223633,4.480000019073486,0
36.41999816894531,4.349999904632568,0
36.189998626708984,4.28000020980835,0
34.56999969482422,4.230000019073486,0
34.36000061035156,4.28000020980835,0
35.119998931884766,4.190000057220459,0
36.09000015258789,4.179999828338623,0
35.5,4.199999809265137,0
35.5,4.199999809265137,0
35.099998474121094,4.110000133514404,0
35.099998474121094,4.110000133514404,0
32.34000015258789,4.090000152587891,0
32.650001525878906,4.03000020980835,0
33.869998931884766,3.990000009536743,0
34.91999816894531,3.950000047683716,0
34.869998931884766,3.880000114440918,0
34.869998931884766,3.880000114440918,0
34.869998931884766,3.880000114440918,0
34.119998931884766,3.8499999046325684,0
34.40999984741211,3.799999952316284,0
34.63999938964844,3.7300000190734863,0
33.599998474121094,3.7300000190734863,0
33.7599983215332,3.6500000953674316,0
31.209999084472656,3.619999885559082,0
31.209999084472656,3.619999885559082,0
30.729999542236328,3.509999990463257,0
30.079999923706055,3.4800000190734863,0
30.6299991607666,3.440000057220459,0
30.450000762939453,3.380000114440918,0
30.889999389648438,3.4100000858306885,0
33.9900016784668,3.359999895095825,0
33.279998779296875,3.299999952316284,0
33.54999923706055,3.2300000190734863,0
45.0099983215332,3.1700000762939453,0
43.5099983215332,3.1600000858306885,0
43.5099983215332,3.1600000858306885,0
41.369998931884766,3.0299999713897705,0
42.560001373291016,3.0399999618530273,0
42.65999984741211,3.0299999713897705,0
38.459999084472656,2.990000009536743,0
34.099998474121094,3.009999990463257,0
33.86000061035156,3.0,0
37.2599983215332,3.0,0
36.18000030517578,2.950000047683716,0
32.970001220703125,2.950000047683716,0
31.950000762939453,2.890000104904175,0
32.97999954223633,2.930000066757202,0
